"State","Affluence","Singletons in Tract","Seniors in Tract","African Americans in Tract","Noncitizens in Tract"
"01","0.883990438283756","0.222178132315272","0.0532690318518517","0.739353351589684","0.375811538074529"
"02","0.86479275694051","0.427302822600653","0.0124869574174709","0.798781303315898","0.736975988912522"
"04","0.823309058099462","0.122076534058096","0.1102133057919","0.62266953436754","0.804912329772231"
"05","0.84214447165579","0.0672906307836786","0.0255182576325464","0.416038719143874","0.478698805841177"
"06","0.811061812809037","0.0851452525475996","0.0843096977236795","0.447762935732381","0.585740560252448"
"08","0.762442004531662","0.106956242330818","0.0253512867435044","0.592810229968248","0.684610978176244"
"09","0.829747021686678","0.346641701846423","0.0776940150481896","0.719925697219594","0.48971953197237"
"10","0.83348868939358","0.140050173643731","0.193572902986997","0.761074475668288","0.621357148646012"
"11","0.84278502965209","0.140508323625775","0.109854543117712","0.752919750387426","0.20909544271765"
"12","0.71078914702031","0.0716761765992592","0.0601755899144537","0.644322845291051","0.0802293264884417"
"13","0.858647052881958","0.161934801517276","0.0888440632968441","0.710531409589554","0.273479266115376"
"15","0.744965546821954","0.0940953401273299","0.128545362659381","0.304166505596242","0.486437112394858"
"16","0.910275107384483","0.159465052540098","0.0219804040587053","0.704121248163308","0.710202907302514"
"17","0.828753949734258","0.12547344820314","0.0540069250527966","0.6301619302189","0.142383083913286"
"18","0.817239152339613","0.238146469607914","0.0199355889772976","0.55726923821354","0.433134667654384"
"19","0.755940453290328","0.183944047961964","0.0414489168837543","0.678926287469899","0.524787170545775"
"20","0.888620807595431","0.187404807972906","0.0293201885124548","0.621722117721594","0.663243703284674"
"21","0.836800746667862","0.270539506196928","0.018126281432027","0.740825218922934","0.473393182271177"
"22","0.85710007055692","0.109194422177648","0.106685886974613","0.763325730281746","0.32058154046304"
"23","0.705152756327345","0.220704764063596","0.195512056713814","0.885632705334165","0.823683300312383"
"24","0.853323439753594","0.0636144297556157","0.164866812997519","0.632920397702714","0.399333229648686"
"25","0.83890139521282","0.0875754883774503","0.0721562864986073","0.596130852803042","0.576972850180828"
"26","0.864957830219231","0.234276909837928","0.00685579818784876","0.571435131301208","0.153622520232083"
"27","0.800546092202663","0.178611097024856","0.0556385491824047","0.742893643824791","0.614075962599023"
"28","0.905100027679503","0.225370754935969","0.0139283543979987","0.678243786937255","0.388234660531365"
"29","0.827286151220291","0.24700873972293","0.0654021833049525","0.642150252054685","0.401596365214622"
"30","0.799734419408128","0.268761799587358","0.104668863783473","0.672164229086619","0.5406920287486"
"31","0.859301350005809","0.264433711523838","0.0344071602947276","0.709656127479989","0.685375230689542"
"32","0.868229372870635","0.222833583340181","0.124680523109171","0.542860765328639","0.754853597527887"
"33","0.868093363406719","0.426519984145369","0.0409390988794757","0.804175537194137","0.765058235715953"
"34","0.821526138115628","0.0673926699631303","0.07924356717946","0.548416057785485","0.0308075685866172"
"35","0.83151437700665","0.0529278113657106","0.191605454379673","0.606899999333191","0.741731976810337"
"36","0.757096233702557","0.121793309009441","0.0276406541697261","0.493715641356455","0.213080841089534"
"37","0.84207898854434","0.20128589000544","0.0131889347938806","0.68136424813813","0.452092227979832"
"38","0.680883636863608","0.693727328967327","0.099409054280638","0.871955957593278","0.576234835436793"
"39","0.797488175353623","0.165356369885229","0.0304704783891993","0.630884115697174","0.36414743556401"
"40","0.846035706874857","0.175717950251394","0.00389612540572271","0.550286218368725","0.546902860178958"
"41","0.814987050801154","0.0655740156959396","0.0062854322143977","0.542540191849871","0.602537644724093"
"42","0.824939652998173","0.0838834044517732","0.0141117834984367","0.647838123339111","0.301174614055098"
"44","0.813704710452911","0.287654471891106","0.165874816664319","0.814173726842787","0.846013499185905"
"45","0.807193301076166","0.173337398202927","0.0193148237802248","0.703188072307554","0.359464436045466"
"46","0.778418272454658","0.410952343347118","0.0898218116020298","0.774778754324758","0.767552302517805"
"47","0.858659682891113","0.176308672567899","0.0404185309621425","0.670720666199917","0.312993945584583"
"48","0.795011161350333","0.102295263180138","0.00901736079993409","0.433450004427175","0.579092642208887"
"49","0.74506408684913","0.147154251225342","0.0944103779685213","0.465172911798641","0.67744582341095"
"50","0.570946071454915","0.57033309927815","0.293244154090759","0.644696881527758","0.267640245492665"
"51","0.835474302694593","0.16036334127095","0.00940899792786887","0.73207461646896","0.225492619607443"
"53","0.798076916588689","0.0625717927346869","0.00191091160693813","0.39380750286097","0.397109689889099"
"54","0.768846312964623","0.329466677463277","0.127209002411848","0.818790924571863","0.46415773329477"
"55","0.844504572520448","0.141511842518774","0.0131894363300707","0.725207999549256","0.33201084487808"
"56","0.934023905293197","0.237804276884649","0.437743743850837","0.682852087658967","0.888131499042251"
