"","Racial Homogeneity","Senoirity","Singleton","Affluence","Citizenship"
"Age",0.00324049448954962,0.00309208669136354,0.00286993691046702,0.00227590224237346,0.0029183497842064
"White",0.00238876241752006,0.00206258429367931,0.00254949652021667,0.00228413617514614,0.00261201899200549
"Black",0.00227216789001845,0.00207608653782835,0.00231113384436773,0.00208769684603776,0.00267719633215317
"Asian",0.00357695884263753,0.00369151590784918,0.00372092602074456,0.00298883384150389,0.00389643466937492
"Some.other.race",0.00282469021855991,0.0027559531237169,0.00233263716779553,0.00263738725695199,0.00278818950654663
"Hispanic.or.Latino",0.00255406639421893,0.00287518198214488,0.00192094416648449,0.00218315243515143,0.00322127624572072
"Not.US.citizen",0.00234123613202205,0.00297661278660522,0.00274039092565844,0.00256407722722946,0.00276542897731145
"Moved.in.past.year",0.00431779363346129,0.00395775703563392,0.00332144984843444,0.00353802241298665,0.00432381919003544
"Drove",0.00774395625278295,0.00517823648344002,0.00515104380222268,0.0049129614452025,0.00590793400734051
"Bicycle.or.walked",0.00661833644643136,0.00559769638463982,0.0044757574320685,0.00450684086429248,0.00533225450874151
"Time.leaving.home",0.00566519022763045,0.00534840400894489,0.00455713913923005,0.00404366404532424,0.00420938795592291
"Travel.time.to.work",0.00544282361616918,0.00400401812750644,0.00412434139294194,0.00422322254161498,0.00487657841817831
"Single.moms",0.00340918710270906,0.00325423785725219,0.00303100493060761,0.00355752369113298,0.00322185478880592
"Lives.alone",0.00318365813319642,0.00417885726534448,0.00293086045599927,0.00248810499718781,0.00398455414796491
"Nonfamily.household",0.00462768065821711,0.00469004687160308,0.00367112930392799,0.0037702476963655,0.00426146906538462
"Never.married",0.00519406937916582,0.00416603739402589,0.00421174339278813,0.00264874311426347,0.00318731649761824
"Married.spouse.present",0.00399594998209949,0.00330254849354278,0.00340169152925853,0.00232522629393159,0.00236215596476281
"Married.spouse.absent",0.00369143568007985,0.00400310127374512,0.00364073805674761,0.00354805050334381,0.00333773625661682
"Widowed",0.00343187039281682,0.00346062301511386,0.00342876625450957,0.00313424766908138,0.00329845447030262
"Divorced",0.0063720077794351,0.00646701333006827,0.00647658916228445,0.00475628873040131,0.00613095775143226
"Education",0.00254806087621834,0.0025737348670716,0.00221525919859494,0.00353222559313642,0.00333795985995715
"Disabled",0.00315428735862153,0.00345641167538642,0.00308068325692183,0.00343994327667587,0.00297812893047398
"Income",0.0021026496029774,0.00237404011543392,0.00195637714960609,0.00207331251666539,0.00241045148247664
"w.Social.Security",0.00204893906565576,0.00260967418443462,0.00197857188219947,0.00326500538025685,0.00226311845286088
"w.SSI",0.00413736084768389,0.00450429100620874,0.0036726734085815,0.00447299631506359,0.00402231916594468
"w.PAI",0.0050586482175348,0.00410174403244652,0.00377404532262895,0.00410317374708624,0.0047084005458403
"w.Retirement.income",0.00348640612328884,0.00397727206389095,0.00333553450900513,0.0029589867868477,0.00321565648924525
"Retirement.income",0.00342663979655149,0.00438002049773594,0.00348735507759753,0.00274254344557939,0.00369601313156471
"Unemployed",0.00450039571443894,0.00439004187947686,0.00361198106132436,0.00404863709449536,0.00409808021625388
"Not.in.labor.force",0.00472144831160973,0.00681946123797116,0.00498442269938665,0.00508831974317644,0.00451314504357039
"Vacant",0.00523538756729078,0.00524957245068683,0.00409107205111174,0.0044984350922828,0.0046380578954932
"Not.owner.occupied",0.00275737140834632,0.00293847161525749,0.00268380732867091,0.00207308258470803,0.00270112531682756
"Median.number.of.rooms",0.00236703608084283,0.00279152146131426,0.00296092929269318,0.00312205445520105,0.00306620329543536
"Units.in.structure",0.00302992210491611,0.00375256950740396,0.00252478637603578,0.00272529346916435,0.00397059242198054
"Mobile.home",0.00380367880069884,0.00398174077748124,0.00315434951750355,0.00324833444389262,0.00395678420647019
"Incomplete.kitchen",0.00597939098106097,0.00488662093571882,0.00399936585978967,0.00411355458275624,0.0051517082532323
"Cash.rent.cost",0.0023061022200319,0.00322466405691957,0.00233512075529651,0.00179885962477196,0.00267029152262294
"Home.value",0.00312035063179103,0.00226044672959071,0.00291719012274588,0.00193467174102299,0.00314773336278206
"Mortgage",0.00544108182820864,0.00572923770415856,0.0043885081945782,0.00468264383870234,0.00508762921576359
